"numero_de_pedido";"estado_de_pedido";"fecha_de_pedido";"id cliente";"titulo_metodo_de_pago";"importe_de_descuento_del_carrito";"importe_subtotal_carrito";"importe_envio_pedido";"importe_reembolsado_pedido";"importe_total_pedido";"importe_total_de_impuestos_del_pedido";"sku";"articulo_numero";"nombre_del_articulo";"cantidad";"coste_articulo";"cupon_articulo";"importe_descuento";"importe_impuestos_descuento"
42251;"Completado";"2022-01-12 17:38";373;"Stripe";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42253;"Completado";"2022-01-13 9:03";1864;"Pago con tarjeta";40.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42254;"Completado";"2022-01-13 11:09";13;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42255;"Completado";"2022-01-13 12:16";4261;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42275;"Completado";"2022-01-13 20:26";740;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Administracion de bases de datos";1;149.0;"";"";""
42276;"Completado";"2022-01-13 21:18";1800;"Pago con tarjeta";0.0;249.0;0;0;249;0.0;"002-1-2-1-1-1-1-1";1;"Aprende Python desde cero";1;249.0;"";"";""
42277;"Completado";"2022-01-13 22:01";4412;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42279;"Completado";"2022-01-14 7:08";2193;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42280;"Procesando";"2022-01-14 8:18";1571;"MasterCard ending in 1902";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42281;"Completado";"2022-01-14 10:45";2190;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42282;"Completado";"2022-01-14 12:36";3656;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42285;"Completado";"2022-01-14 16:24";2199;"Fraccionar pago";0.0;699.0;0;0;699;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42286;"Completado";"2022-01-14 17:23";2179;"Pago con tarjeta";0.0;189.0;0;0;189;0.0;"001-3";1;"Aprende Python desde cero";1;249.0;"";"";""
42287;"Completado";"2022-01-14 19:44";4017;"Tarjeta de credito (Stripe)";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42289;"Completado";"2022-01-15 8:42";347;"";60.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42291;"Completado";"2022-01-15 9:39";24;"Stripe";31.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42292;"Procesando";"2022-01-15 10:58";617;"MasterCard ending in 6701";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42294;"Completado";"2022-01-15 15:26";2998;"Stripe";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42295;"Completado";"2022-01-15 16:38";1320;"Stripe";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42298;"Procesando";"2022-01-15 23:02";1303;"Visa ending in 6375";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42299;"Procesando";"2022-01-16 13:48";203;"Visa ending in 8434";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42300;"Procesando";"2022-01-16 17:50";2454;"Visa ending in 6713";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42302;"Completado";"2022-01-16 18:13";920;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42303;"Completado";"2022-01-17 9:56";919;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42304;"Completado";"2022-01-17 10:27";2666;"Stripe";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42306;"Completado";"2022-01-17 21:39";2666;"Stripe";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42307;"Completado";"2022-01-17 23:59";2662;"Stripe";0.0;249.0;0;0;249;0.0;"002-1-2-1-1-1-1-1";1;"Aprende Python desde cero";1;249.0;"";"";""
42308;"Completado";"2022-01-18 0:33";3651;"Stripe";0.0;149.0;0;0;149;0.0;"";1;"MYSQL: Administracion de bases de datos";1;149.0;"";"";""
42309;"Completado";"2022-01-18 11:58";2652;"Pago con tarjeta";0.0;179.0;0;0;179;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
